answer,question,context,gemma_query,rouge1,rouge2,rougeL,exact_match,bleu_score
"SELECT MIN(laps) FROM table_name_8 WHERE grid > 3 AND time = ""39:24.967""",What was the number of Laps with a Grid of more than 3 and Time of 39:24.967?,"CREATE TABLE table_name_8 (laps INTEGER, grid VARCHAR, time VARCHAR)","SELECT AVG(laps) FROM table_name_8 WHERE grid > 3 AND time = ""39:24.967""",0.9230769180769233,0.8333333283333335,0.9230769180769233,0,0.9173176373893104
"SELECT senior_status FROM table_name_18 WHERE chief_judge = ""—"" AND reason_for_termination = ""death"" AND active_service = ""1967–1983""","Which Senior status has a Chief Judge of —, a Reason for termination of death, and Active service of 1967–1983?","CREATE TABLE table_name_18 (senior_status VARCHAR, active_service VARCHAR, chief_judge VARCHAR, reason_for_termination VARCHAR)","SELECT senior_status FROM table_name_18 WHERE chief_judge = ""—"" AND reason_for_termination = ""death"" AND active_service = ""1967–1983""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT MAX(rank) FROM table_name_98 WHERE react = 0.198 AND time < 46.3,"Which Rank has a Reaction of 0.198, and a Time smaller than 46.3?","CREATE TABLE table_name_98 (rank INTEGER, react VARCHAR, time VARCHAR)",SELECT SUM(rank) FROM table_name_98 WHERE react = 0.198 AND time < 46.3,0.9285714235714286,0.8461538411538462,0.9285714235714286,0,0.8979542144404234
"SELECT narrated_by FROM table_26168687_3 WHERE vessel_operator = ""De Beers""",Who narrated when the vessel operator is de beers?,"CREATE TABLE table_26168687_3 (narrated_by VARCHAR, vessel_operator VARCHAR)","SELECT narrated_by FROM table_26168687_3 WHERE vessel_operator = ""De Beers""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT original_season FROM table_name_15 WHERE placing = ""11th place""",What's the original season in 11th place?,"CREATE TABLE table_name_15 (original_season VARCHAR, placing VARCHAR)","SELECT original_season FROM table_name_15 WHERE placing = ""11th""",0.823529406782007,0.7999999950222222,0.823529406782007,0,0.8884420215438181
"SELECT COUNT(place) FROM table_name_10 WHERE artist = ""rosie hunter"" AND draw > 1",What is the Place of the Song by Artist Rosie Hunter with a Draw of 1 or larger?,"CREATE TABLE table_name_10 (place VARCHAR, artist VARCHAR, draw VARCHAR)","SELECT place FROM table_name_10 WHERE artist = ""Rosie Hunter"" AND draw > 1",0.7692307642307693,0.5833333283333335,0.7692307642307693,0,0.5946826959690495
"SELECT TIME FROM elimination WHERE Eliminated_By = ""Punk"" OR Eliminated_By = ""Orton""","Show the times of elimination by ""Punk"" or ""Orton"".","CREATE TABLE elimination (TIME VARCHAR, Eliminated_By VARCHAR)","SELECT TIME FROM elimination WHERE Eliminated_By = ""Punk"" OR Eliminated_By = ""Orton""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT game_site FROM table_13259009_2 WHERE opponent = ""San Diego Chargers""",Where did they play the San Diego Chargers?,"CREATE TABLE table_13259009_2 (game_site VARCHAR, opponent VARCHAR)","SELECT game_site FROM table_13259009_2 WHERE opponent = ""San Diego Chargers""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT played FROM table_name_4 WHERE lost > 2 AND team = ""américa""","Which Played has a Lost larger than 2, and a Team of américa?","CREATE TABLE table_name_4 (played VARCHAR, lost VARCHAR, team VARCHAR)","SELECT COUNT(played) FROM table_name_4 WHERE lost > 2 AND team = ""america""",0.8333333283333335,0.7272727222727273,0.8333333283333335,0,0.6713093593153819
"SELECT venue FROM table_name_26 WHERE score = ""4-0"" AND competition = ""2002 tiger cup""",What venue has a score of 4-0 with the 2002 Tiger Cup listed as the competition?,"CREATE TABLE table_name_26 (venue VARCHAR, score VARCHAR, competition VARCHAR)","SELECT venue FROM table_name_26 WHERE score = ""4-0"" AND competition = ""tiger cup""",0.879999995008,0.7999999950080001,0.879999995008,0,0.8862476419965991
